S. No.,Player,Country,Matches,Balls,Runs,Wkts,  BBI,FourWickets,Avg,StrikeRate,Economy,Bowled,Catched,CaughtAndBowled,LBW
81,"Dharmasena, H D P K",Sri Lanka,141,7009,4998,138,04/37,1,36.22,50.79,4.28,18.8,60.9,5.8,6.5
82,Mohammad Hafeez*,Pakistan,203,7409,5073,137,04/41,1,37.03,54.08,4.11,27,29.9,6.6,29.9
83,"Styris, S B",New Zealand,188,6114,4839,137,06/25,5,35.32,44.63,4.75,20.4,56.2,12.4,10.9
84,"Maharoof, M F*",Sri Lanka,109,4640,3789,135,06/14,6,28.07,34.37,4.9,19.3,43,26.7,11.1
85,"Fleming, D W",Australia,88,4619,3402,134,05/36,5,25.39,34.47,4.42,25.4,29.9,25.4,19.4
86,"Utseya, P",Zimbabwe,164,8571,6239,133,05/36,3,46.91,64.44,4.37,9.8,54.9,9.8,13.5
87,"Symonds, A",Australia,198,5935,4955,133,05/18,3,37.26,44.62,5.01,15,53.4,15,10.5
88,Abdul Qadir,Pakistan,104,5100,3454,132,05/44,6,26.17,38.64,4.06,28,36.4,8.3,10.6
89,"Dillon, M V",West Indies,108,5480,4218,130,05/29,6,32.45,42.15,4.62,21.5,50.8,21.5,6.2
90,"Shastri, R J",India,150,6613,4650,129,05/15,3,36.05,51.26,4.22,12.4,55,7.8,7.8
91,"Taylor, J E",West Indies,90,4341,3780,128,05/48,4,29.53,33.91,5.22,35.2,38.3,17.2,9.4
92,"Morrison, D K",New Zealand,96,4586,3470,126,05/34,3,27.54,36.4,4.54,34.9,42.9,14.3,7.9
93,"Boult, T A*",New Zealand,69,3722,3200,126,07/34,9,25.4,29.54,5.16,25.4,53.2,13.5,7.1
94,Mohammad Rafique,Bangladesh/ACC Asian XI,125,6414,4739,125,05/47,4,37.91,51.31,4.43,20.8,42.4,8.8,18.4
95,Azhar Mahmood,Pakistan,143,6242,4813,123,06/18,5,39.13,50.75,4.63,21.1,40.7,24.4,13.8
96,Mohammad Sami*,Pakistan,87,4284,3567,121,05/Oct,4,29.48,35.4,5,33.9,35.5,11.6,19
97,Rubel Hossain*,Bangladesh,95,4228,3943,121,06/26,8,32.59,34.94,5.6,21.5,43.8,21.5,12.4
98,"Rashid, A U*",England,78,3940,3620,119,05/27,8,30.42,33.11,5.51,12.6,55.5,8.4,14.3
99,"Cremer, A G*",Zimbabwe,96,4680,3597,119,06/46,7,30.23,39.33,4.61,16,51.3,6.7,15.1
100,"Richards, I V A",West Indies,187,5644,4228,118,06/41,3,35.83,47.83,4.49,26.3,48.3,5.9,9.3
101,"Bishop, I R",West Indies,84,4332,3127,118,05/25,9,26.5,36.71,4.33,21.2,55.1,13.6,8.5
102,Rashid Khan*,Afghanistan,52,2623,1708,118,07/18,8,14.47,22.23,3.91,21.2,29.7,5.1,36.4
103,"Rampaul, R",West Indies,92,4033,3434,117,05/49,10,29.35,34.47,5.11,19.7,47,23.1,10.3
104,"Plunkett, L E",England,74,3501,3424,115,05/52,6,29.77,30.44,5.87,14.8,53,25.2,7
105,"Sharma, I*",India,80,3733,3563,115,04/34,6,30.98,32.46,5.73,20.9,51.3,24.3,3.5
106,"Woakes, C R*",England,80,3768,3463,114,06/45,10,30.38,33.05,5.51,14,63.2,20.2,2.6
107,Mohammad Nabi*,Afghanistan,106,5058,3585,114,04/30,2,31.45,44.37,4.25,21.1,57,4.4,8.8
108,"Roach, K A J*",West Indies,79,3949,3296,114,06/27,6,28.91,34.64,5.01,28.1,43.9,19.3,8.8
109,"Mathews, A D*",Sri Lanka,203,5071,3901,114,06/20,2,34.22,44.48,4.62,18.4,47.4,18.4,15.8
110,"Cronje, W J",South Africa,187,5303,3916,114,05/32,2,34.35,46.52,4.43,8.8,56.1,22.8,9.6
111,"Snedden, M C",New Zealand,93,4525,3237,114,04/34,1,28.39,39.69,4.29,25.4,45.6,20.2,8.8
112,"Larsen, G R",New Zealand,121,6368,4000,113,04/24,1,35.4,56.35,3.77,29.2,37.2,16.8,13.3
113,"De Freitas, P A J",England,102,5658,3737,112,04/35,1,33.37,50.52,3.96,20.5,53.6,14.3,11.6
114,"O'Brien, K J*",Ireland,128,4089,3576,112,04/13,5,31.93,36.51,5.25,15.2,58.9,17.9,7.1
115,"Holder, J O*",West Indies,85,4058,3702,112,05/27,6,33.05,36.23,5.47,17.9,49.1,24.1,8.9
116,Yuvraj Singh*,India/ACC Asian XI,304,5048,4294,111,05/31,3,38.68,45.48,5.1,9.9,49.5,16.2,11.7
117,"Collingwood, P D",England,197,5186,4294,111,06/31,4,38.68,46.72,4.97,22.5,57.7,6.3,12.6
118,Mudassar Nazar,Pakistan,122,4855,3432,111,05/28,2,30.92,43.74,4.24,27.9,47.7,17.1,6.3
119,Naved-ul-Hasan,Pakistan,74,3466,3221,110,06/27,7,29.28,31.51,5.58,28.2,41.8,15.5,14.5
120,"Tuffey, D R",New Zealand,94,4333,3534,110,04/24,2,32.13,39.39,4.89,13.6,52.7,24.5,9.1
121,"Bresnan, T T",England,85,4221,3813,109,05/48,4,34.98,38.72,5.42,22.9,56.9,12.8,7.3
122,"Wickramasinghe, G P",Sri Lanka,134,5720,4321,109,04/48,1,39.64,52.48,4.53,11.9,59.6,21.1,7.3
123,"Zoysa, D N T",Sri Lanka,95,4259,3213,108,05/26,3,29.75,39.44,4.53,15.7,51.9,23.1,9.3
124,"O'Donnell, S P",Australia,87,4350,3102,108,05/13,6,28.72,40.28,4.28,25,45.4,19.4,10.2
125,"Reiffel, P R",Australia,92,4732,3096,106,04/13,5,29.21,44.64,3.93,20.8,40.6,29.2,8.5
126,"de Silva, P A",Sri Lanka,308,5148,4177,106,04/30,2,39.41,48.57,4.87,15.1,65.1,2.8,6.6
127,"Dilshan, T M",Sri Lanka,330,5880,4778,106,04/Apr,3,45.08,55.47,4.88,12.3,47.2,8.5,21.7
128,"Nel, A",South Africa,79,3801,2935,106,05/45,4,27.69,35.86,4.63,17,56.6,20.8,5.7
129,"Yadav, U T*",India,75,3558,3565,106,04/31,4,33.63,33.57,6.01,18.9,49.1,22.6,9.4
130,"Swann, G P",England,79,3809,2888,104,05/28,4,27.77,36.63,4.55,23.1,47.1,6.7,11.5
131,Junaid Khan*,Pakistan,71,3325,2896,104,04/Dec,4,27.85,31.97,5.23,31.7,45.2,16.3,6.7
132,"Lakmal, R A S*",Sri Lanka,81,3686,3321,104,04/13,3,31.93,35.44,5.41,13.5,56.7,17.3,12.5
133,"Flower, G W",Zimbabwe,221,5462,4225,104,04/32,2,40.63,52.52,4.64,17.3,71.2,3.8,3.8
134,"Pringle, C",New Zealand,64,3314,2459,103,05/45,3,23.87,32.17,4.45,28.2,52.4,11.7,7.8
135,"Lillee, D K",Australia,63,3593,2145,103,05/34,6,20.83,34.88,3.58,28.2,34,21.4,15.5
136,"Finn, S T*",England,69,3550,2996,102,05/33,6,29.37,34.8,5.06,20.6,40.2,24.5,14.7
137,Wahab Riaz*,Pakistan,79,3695,3503,102,05/46,5,34.34,36.23,5.69,25.5,46.1,23.5,3.9
138,"Chigumbura, E*",Zimbabwe/ACA Africa XI,213,4339,4274,101,04/28,1,42.32,42.96,5.91,20.8,54.5,20.8,4
139,"Price, R W",Zimbabwe,102,5374,3575,100,04/22,1,35.75,53.74,3.99,18,54,3,14
140,"Langeveldt, C K",South Africa,72,3489,2962,100,05/39,3,29.62,34.89,5.09,21,46,22,11
141,"Harper, R A",West Indies,105,5175,3431,100,04/40,3,34.31,51.75,3.98,26,60,2,4
142,"Benjamin, W K M",West Indies,85,4442,3079,100,05/22,1,30.79,44.42,4.16,33,40,21,5
143,"Ganguly, S C",India/ACC Asian XI,311,4561,3849,100,05/16,3,38.49,45.61,5.06,18,55,14,9
